admissionNumber,firstName,middleName,lastName,form,status,stream,dateOfBirth,gender,parentPhone,email,address,uploadBatchId
3055,Linda,Njoroge,Wafula,Form 3,active,C,2/22/2007,Female,254726470160,linda.wafula50@gmail.com,"134 Uhuru Highway, Kitale",
3056,Christopher,Mbugua,Maina,Form 3,active,A,6/23/2008,Male,254758604120,christopher.maina92@gmail.com,"305 Mombasa Road, Nyeri",
3057,Jennifer,,Musyoka,Form 3,active,F,8/12/2011,Male,254757554937,jennifer.musyoka48@gmail.com,"399 Kenyatta Avenue, Nyeri",
3058,Kevin,Wanjiru,Njeri,Form 3,active,G,9/15/2007,Female,254750920914,kevin.njeri91@gmail.com,"977 River Road, Nyeri",
3059,Robert,Wanjiru,Cheruiyot,Form 3,active,E,11/20/2007,Male,254790701044,robert.cheruiyot88@gmail.com,"945 River Road, Kitale",
3060,Alexander,Adhiambo,Kilonzo,Form 3,active,F,2/15/2007,Male,254790844750,alexander.kilonzo90@gmail.com,"457 Eldoret Road, Kisumu",
3061,Eric,,Koech,Form 3,active,C,9/17/2009,Male,254730157189,eric.koech54@gmail.com,"415 Main Street, Mombasa",
3062,Sophia,Otieno,Barasa,Form 3,active,A,7/6/2009,Female,254783421711,sophia.barasa31@gmail.com,"68 River Road, Thika",
3063,Henry,Muli,Korir,Form 3,active,E,11/9/2009,Female,254737744061,henry.korir80@gmail.com,"195 Kenyatta Avenue, Kisumu",
3064,Abigail,Wanjiru,Akinyi,Form 3,active,A,9/17/2006,Female,254775794479,abigail.akinyi48@gmail.com,"146 River Road, Nairobi",
3065,Elizabeth,Njoroge,Kariuki,Form 3,active,E,3/12/2007,Female,254747675263,elizabeth.kariuki83@gmail.com,"427 River Road, Mombasa",
3066,Barbara,Kariuki,Muli,Form 3,active,G,4/4/2008,Female,254763986596,barbara.muli87@gmail.com,"498 River Road, Nairobi",
3067,James,Wafula,Njoroge,Form 3,active,A,10/16/2007,Male,254728325055,james.njoroge65@gmail.com,"489 Uhuru Highway, Meru",
3068,Richard,Odhiambo,Adhiambo,Form 3,active,B,4/2/2009,Female,254779151719,richard.adhiambo61@gmail.com,"456 Thika Road, Nairobi",
3069,Jennifer,,Wanjiru,Form 3,active,D,6/3/2006,Male,254759399683,jennifer.wanjiru73@gmail.com,"655 Mombasa Road, Meru",
3070,Kenneth,,Korir,Form 3,active,H,7/17/2008,Female,254722466942,kenneth.korir65@gmail.com,"471 Kenyatta Avenue, Kisumu",
3071,Isabella,Koech,Mbugua,Form 3,active,E,4/2/2009,Female,254735682967,isabella.mbugua44@gmail.com,"289 Moi Avenue, Thika",
3072,Jason,,Wafula,Form 3,active,H,2/10/2010,Female,254777173908,jason.wafula60@gmail.com,"981 Kisumu Road, Nairobi",
3073,Olivia,Chebet,Njoroge,Form 3,active,D,11/9/2006,Male,254754864441,olivia.njoroge27@gmail.com,"407 Uhuru Highway, Kisumu",
3074,Robert,Mbugua,Koech,Form 3,active,D,4/28/2009,Female,254759181513,robert.koech57@gmail.com,"174 River Road, Eldoret",
3075,Steven,Mutua,Mwangi,Form 3,active,H,3/4/2006,Female,254793732726,steven.mwangi16@gmail.com,"229 Moi Avenue, Eldoret",
3076,Liam,,Mwangi,Form 3,active,B,5/8/2009,Female,254771840980,liam.mwangi65@gmail.com,"708 Main Street, Kisumu",
3077,Oliver,Adhiambo,Wanjiku,Form 3,active,D,10/24/2011,Male,254748902544,oliver.wanjiku57@gmail.com,"610 Main Street, Kakamega",
3078,Joseph,Wanjiru,Kiptoo,Form 3,active,D,11/17/2009,Male,254718445618,joseph.kiptoo49@gmail.com,"923 River Road, Thika",
3079,Mary,Cheruiyot,Rono,Form 3,active,D,5/13/2008,Female,254755584316,mary.rono56@gmail.com,"758 Moi Avenue, Kakamega",
