admissionNumber,firstName,middleName,lastName,form,status,stream,dateOfBirth,gender,parentPhone,email,address,uploadBatchId
3030,Michael,,Musyoka,Form 2,active,E,8/19/2008,Male,254723957332,michael.musyoka10@gmail.com,"64 Moi Avenue, Nakuru",
3031,Isabella,Otieno,Otieno,Form 2,active,H,7/20/2006,Female,254797205898,isabella.otieno12@gmail.com,"356 Main Street, Kitale",
3032,Charles,,Mwangi,Form 2,active,D,3/16/2010,Female,254738758792,charles.mwangi97@gmail.com,"662 Thika Road, Nairobi",
3033,Abigail,Kimani,Mwangi,Form 2,active,A,4/13/2006,Male,254790641188,abigail.mwangi72@gmail.com,"697 Kenyatta Avenue, Meru",
3034,John,Kipchoge,Kariuki,Form 2,active,E,9/28/2006,Male,254722728670,john.kariuki98@gmail.com,"366 Kenyatta Avenue, Eldoret",
3035,Elizabeth,,Wafula,Form 2,active,G,11/17/2009,Male,254764571972,elizabeth.wafula81@gmail.com,"11 River Road, Eldoret",
3036,Karen,Njeri,Wanjiru,Form 2,active,B,2/9/2007,Male,254731737314,karen.wanjiru72@gmail.com,"394 Kenyatta Avenue, Nyeri",
3037,Christopher,Barasa,Kariuki,Form 2,active,D,4/1/2010,Male,254767939976,christopher.kariuki38@gmail.com,"385 River Road, Kitale",
3038,Elizabeth,,Cheruiyot,Form 2,active,B,12/1/2007,Female,254738903608,elizabeth.cheruiyot75@gmail.com,"965 Kisumu Road, Kisumu",
3039,Michael,,Ochieng,Form 2,active,B,9/15/2008,Female,254792519133,michael.ochieng82@gmail.com,"967 Thika Road, Mombasa",
3040,Eric,Cheruiyot,Cheruiyot,Form 2,active,G,3/5/2009,Male,254794117236,eric.cheruiyot80@gmail.com,"58 Kisumu Road, Meru",
3041,Abigail,Koech,Odhiambo,Form 2,active,E,2/28/2007,Female,254793732203,abigail.odhiambo53@gmail.com,"458 Moi Avenue, Kisumu",
3042,Kenneth,Kilonzo,Wafula,Form 2,active,C,1/12/2007,Male,254780903802,kenneth.wafula31@gmail.com,"281 Kisumu Road, Kakamega",
3043,Karen,Rono,Achieng,Form 2,active,E,10/18/2011,Male,254784938790,karen.achieng64@gmail.com,"789 Ngong Road, Kitale",
3044,Timothy,Wanjiru,Musyoka,Form 2,active,A,9/7/2006,Male,254767502976,timothy.musyoka89@gmail.com,"49 Mombasa Road, Kisumu",
3045,William,,Wanjiku,Form 2,active,G,4/23/2009,Male,254766380604,william.wanjiku50@gmail.com,"262 Kenyatta Avenue, Mombasa",
3046,Emily,Kariuki,Achieng,Form 2,active,A,7/21/2010,Male,254760773581,emily.achieng42@gmail.com,"347 Moi Avenue, Kisumu",
3047,Ava,,Kimani,Form 2,active,E,6/2/2010,Female,254739478512,ava.kimani95@gmail.com,"231 River Road, Nairobi",
3048,William,Wanjiru,Kiptoo,Form 2,active,B,5/23/2005,Male,254711783650,william.kiptoo75@gmail.com,"115 Moi Avenue, Meru",
3049,Thomas,,Kimani,Form 2,active,C,4/24/2010,Male,254734942013,thomas.kimani39@gmail.com,"705 Uhuru Highway, Kisumu",
3050,Thomas,Mutiso,Koech,Form 2,active,A,10/17/2007,Female,254728500188,thomas.koech74@gmail.com,"291 Eldoret Road, Nairobi",
3051,Linda,Wanjiru,Adhiambo,Form 2,active,A,10/22/2008,Male,254753887007,linda.adhiambo79@gmail.com,"277 Kenyatta Avenue, Eldoret",
3052,Jason,,Kilonzo,Form 2,active,B,6/25/2009,Female,254733906949,jason.kilonzo61@gmail.com,"775 Moi Avenue, Nakuru",
3053,Lucas,Mwangi,Mbugua,Form 2,active,F,5/17/2005,Female,254733578125,lucas.mbugua64@gmail.com,"422 Thika Road, Nairobi",
3054,William,Wafula,Njoroge,Form 2,active,A,10/28/2006,Male,254778434146,william.njoroge47@gmail.com,"91 Moi Avenue, Nakuru",
